Credit / Week,CEO,ACD,MKT,MKT REFERAL,HR,FNC,OD,OPS,AD HOC (not necessarily follow credit)
Pre-class,"Thank you for choosing Ebright for your child's growth and learning journey! We are truly honored by your trust and support.

Our team is dedicated to bringing out the best in every child, and we can’t wait to see them thrive in our classes. I’ve prepared a short welcome video specially for you, please take a moment to watch it here: [video]

Welcome to Ebright!",,"Welcome video by CEO
(Need to create)",,,,"Send our website link for parent’s overview
","1) Trial confirmed + trial payment 
2) The trial experience feedback ",
1,,"1) Welcome to Ebright 
2) your child has received the workbook
3) Have your child received the video for today’s class?","Welcome to Ebright, attached with social media linktree (FB, IG, TT, Threads)

Put WA Channel link for further information 

*Need to update link for CEO, celebrity coaches",,,"Welcome & payment receipt confirmation (""Thank you for your enrollment. Your payment has been received successfully."")",,"1) Welcome to ebright, 
2) Aone link 
3) Attendance marked ","HR

Announce upcoming career fair event for parents with University children"
2,,1) Have your child received the video for today’s class?,,,,"Explain parent portal/payment methods (""Here's how to view invoices and make payments."")",,"1) Aone link 
2) Attendance marked ","1) birthday message to parents. 
2) can give voucer as bday promo."
3,"Happy Week 3! I hope your child is enjoying our classes and making wonderful progress.

To keep you updated with our latest learning tips, exciting student updates, and important announcements, I’d love to invite you to follow our official social media channels.

[Facebook link] [Instagram link] [Tiktok link] [Threads link]",1) Have your child received the video for today’s class?,"1) Hi parents! What’s your opinions about our classes/branches? Rate us on Google Review and share your thoughts!

2) Include gifts that they can claim at the branch",,,"
Installment reminder (if applicable)",,"1) Starter kit received email 
2) Aone link
3) Attendance marked ","Ops

1) Every event they get an email as fyi even including new branch opening.
"
4,,Have your child received the video for today’s class?,,,Feedback for Coach Quality,"Payment appreciation (""Thank you for your prompt payment."")",,"1) Aone link 
2) Attendance marked ","Ops
1) Every celebration they get an email 

"
5,"If you love the transformation and joy you see in your child at Ebright, why not share it with your friends and family?

When you refer a friend or relative to Ebright, and they successfully enroll, both YOU and YOUR FRIEND will receive a special appreciation reward!",Have your child received the video for today’s class?,,,approach parent for position opening in our company,,,"1) Aone link 
2) Attendance marked 
3) Enrolment gift received (if any)","MKT:
1) Give announcement for showcase (poster and caption like on social media)"
6,"We are already halfway through the term! Watching our students grow and build their confidence over the past few weeks has been incredibly rewarding.

Your feedback means a great deal to us and helps us continue improving our learning experience for every student and family.

If you have a few minutes, we would truly appreciate it if you could share your experience by leaving us a review. Your support also helps other families learn more about Ebright.",Have your child received the video for today’s class?,,,Open internship intake,,,"1) Aone link 
2) Attendance marked ","MKT:
1) Put template to wish student ambassadors’ birthday"
7,,Have your child received the video for today’s class?,,,,,,"1) Aone link 
2) Attendance marked ",
8,,"1) Have your child received the video for today’s class?
2) Parent Coach Meetup is coming soon! we will meet you in 2 weeks for your child progress!",,,,"Renewal preparation (""Your current package is ending soon. We will contact you regarding continuation."")",,"1) Aone link 
2) Attendance marked ",
9,"It’s time to celebrate our students’ amazing progress! I am incredibly proud to announce our upcoming Monthly Showcase.  

This is a special stage dedicated to celebrating the hard work, courage, and confidence that our students have achieved over the past weeks.

Event details:
Date:
Time:
Venue:

[attached poster below]

If you have any questions regarding the showcase, please feel free to reach out directly to your Branch Manager or our Marketing Department.  ","1) Have your child received the video for today’s class?
2) Parent Coach Meetup is coming soon! we will meet you in next week for your child progress!",,,,,,"1) Aone link 
2) Attendance marked ",
